stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0.5,5.0,71.80959239997901,,71.79313979996368,71.80959239997901,72.29286599997431,72.29286599997431,72.30913870001677,72.59235479997005,72.84420960000716,left,-5.0,1,1,0.5490858999546617,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
66,0.5,5.0,72.85960259998683,,72.84429839998484,72.85960259998683,73.34276779997163,73.34276779997163,73.3590586000355,73.64213529997505,73.79293090000283,right,5.0,1,1,0.43722850002814084,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
67,0.5,5.0,73.80871649994515,,73.79302820004523,73.80871649994515,74.29202579997946,74.29202579997946,74.30941620003432,74.59179089998361,74.89257329993416,right,5.0,1,1,0.5870003999443725,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
68,0.5,4.5,74.90923460002523,,74.8926472000312,74.90923460002523,75.39238450000994,75.39238450000994,75.40842470002826,75.69234780000988,75.84276649996173,left,-4.5,0,0,0.44689269992522895,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
69,0.5,5.0,75.85909569996875,,75.8428433999652,75.85909569996875,76.35835170000792,76.35835170000792,76.35835170000792,76.65823119995184,76.70935659995303,left,-5.0,1,1,0.34641200001351535,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
70,0.5,5.0,76.72494290000759,,76.70942530001048,76.72494290000759,77.22494610003196,77.22494610003196,77.22494610003196,77.52553670003545,77.67585210001562,right,5.0,0,0,0.4465482000960037,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
71,0.5,5.5,77.69140869996045,,77.67592700000387,77.69140869996045,78.17489759996533,78.17489759996533,78.19182239996735,,78.42620710004121,left,-5.5,0,0,0.2484441000269726,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
72,0.5,6.0,78.4415377000114,,78.42629149998538,78.4415377000114,78.94166919996496,78.94166919996496,78.94166919996496,79.24120419996325,79.6430560000008,left,-6.0,1,1,0.6839901000494137,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
73,0.5,6.0,79.65850689995568,,79.64312989998143,79.65850689995568,80.15795759996399,80.15795759996399,80.15795759996399,80.4578443999635,80.59191610000562,left,-6.0,1,1,0.4217137999366969,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
74,0.5,6.0,80.6075990999816,,80.59198709996417,80.6075990999816,81.09113199997228,81.09113199997228,81.10879450000357,81.39131650002673,81.52568600000814,left,-6.0,1,1,0.4197506000055,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
75,0.5,5.5,81.54078919999301,,81.52576700004283,81.54078919999301,82.02418870001566,82.02418870001566,82.04121840000153,82.32517710002139,82.40924649999943,left,-5.5,1,1,0.3790680000092834,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
76,0.5,5.5,82.42417819995899,,82.40933069994207,82.42417819995899,82.9241588000441,82.9241588000441,82.9241588000441,83.22442660003435,85.05837390001398,left,-5.5,0,0,2.122913800063543,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
77,0.5,6.0,85.07413429999724,,85.05847960000392,85.07413429999724,85.55766739998944,85.55766739998944,85.57394200004637,85.85802449996118,86.09191269997973,left,-6.0,0,0,0.5188987000146881,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
78,0.5,6.5,86.11031310004182,,86.0920022999635,86.11031310004182,86.6079198999796,86.6079198999796,86.62400930002332,86.90724950004369,87.40837820002344,right,6.5,1,1,0.7920355999376625,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
79,0.5,6.5,87.4238557999488,,87.408455900033,87.4238557999488,87.92410830000881,87.92410830000881,87.92410830000881,88.2234596000053,88.30786139995325,left,-6.5,1,1,0.3770148999756202,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
80,0.5,6.5,88.32415610004682,,88.3079388999613,88.32415610004682,88.80715839995537,88.80715839995537,88.8240533999633,89.10672010004055,89.30789069994353,right,6.5,1,1,0.4872279000701383,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
81,0.5,6.0,89.32366949995048,,89.30797009996604,89.32366949995048,89.82381039997563,89.82381039997563,89.82381039997563,90.12368860002607,90.2909895000048,left,-6.0,1,1,0.4520310000516474,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
82,0.5,6.0,90.30715410003904,,90.29109630000312,90.30715410003904,90.80705790000502,90.80705790000502,90.80705790000502,91.10662720003165,91.20767919998616,right,6.0,1,1,0.39757149992510676,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
